Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Theta_a1,Theta_b1,Theta_c1,Theta_a2,Theta_b2,Theta_c2,Adjustment Count P2,Scenario,P2 Vector Cost
1,0,1,0,30,0.27,0.73,False,True,3,12,0,15,24.44,-24.25,0.3,10.23,1.28,1.28,700,750,817,728,1,1,1,0.001,0.0,0.0,0,close_tail,False
2,0,1,0,30,0.43,0.57,False,True,3,4,0,2,2.02,-1.88,0.06,6.46,0.77,0.0,700,750,817,728,1,1,1,0.001,0.0,0.25,0,close_tail,False
3,0,1,0,30,0.43,0.57,False,True,3,4,0,2,2.02,-1.88,0.06,6.46,0.77,0.0,700,750,817,728,1,1,1,0.001,0.0,0.5,0,close_tail,False
4,0,1,0,30,0.43,0.57,False,True,3,4,0,2,2.02,-1.88,0.06,6.46,0.77,0.0,700,750,817,728,1,1,1,0.001,0.0,0.75,0,close_tail,False
5,0,1,0,30,0.43,0.57,False,True,3,4,0,2,2.02,-1.88,0.06,6.46,0.77,0.0,700,750,817,728,1,1,1,0.001,0.0,1.0,0,close_tail,False
6,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-48.11,48.52,0.05,0.14,0.0,0.0,700,750,817,728,1,1,1,0.001,0.25,0.0,0,close_tail,False
7,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-48.11,48.52,0.05,0.14,0.0,0.0,700,750,817,728,1,1,1,0.001,0.25,0.25,0,close_tail,False
8,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-48.11,48.52,0.05,0.14,0.0,0.0,700,750,817,728,1,1,1,0.001,0.25,0.5,0,close_tail,False
9,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-48.11,48.52,0.05,0.14,0.0,0.0,700,750,817,728,1,1,1,0.001,0.25,0.75,0,close_tail,False
10,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-48.11,48.52,0.05,0.14,0.0,0.0,700,750,817,728,1,1,1,0.001,0.25,1.0,0,close_tail,False
11,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-52.08,52.5,0.05,0.0,0.0,0.0,700,750,817,728,1,1,1,0.001,0.5,0.0,0,close_tail,False
12,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-52.08,52.5,0.05,0.0,0.0,0.0,700,750,817,728,1,1,1,0.001,0.5,0.25,0,close_tail,False
13,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-52.08,52.5,0.05,0.0,0.0,0.0,700,750,817,728,1,1,1,0.001,0.5,0.5,0,close_tail,False
14,0,0,0,30,1.0,0.0,True,False,3,0,0,0,-52.08,52.5,0.05,0.0,0.0,0.0,700,750,817,728,1,1,1,0.001,0.5,0.75,0,close_tail,False
